Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
303,0.01650165016501649,1
310,0.01645161290324457,1
319,0.015987460815065257,1
320,0.01593750000001818,1
334,0.015269461077861729,1
321,0.01588785046730784,1
329,0.015501519756856588,1
352,0.01448863636365289,1
349,0.014613180515775981,1
337,0.015133531157287291,1
317,0.01608832807572813,1
210,0.024285714285741986,1
323,0.015789473684228537,1
314,0.016242038216579036,1
322,0.015838509316788252,1
324,0.015740740740758694,1
363,0.01404958677687553,1
354,0.014406779661033382,1
332,0.015361445783150051,1
364,0.014010989011004992,1
344,0.014825581395365748,1
363,0.01404958677687553,1
557,0.00915619389588118,1
529,0.009640831758045023,1
466,0.010944206008596174,1
542,0.009409594095951693,1
410,0.012439024390258091,1
343,0.014868804664739992,1
325,0.015692307692325592,1
333,0.015315315315332784,1
342,0.014912280701771396,1
352,0.01448863636365289,1
327,0.015596330275247148,1
331,0.015407854984911835,1
338,0.015088757396466914,1
461,0.011062906724524549,1
373,0.011796246648777955,1
559,0.010196779964242644,1
623,0.008186195826654603,1
559,0.00912343470484046,1
677,0.00753323485968363,1
373,0.013672922252026324,1
216,0.023611111111138047,1
346,0.014739884393080396,1
333,0.015315315315332784,1
321,0.01588785046730784,1
319,0.015987460815065257,1
319,0.015987460815065257,1
296,0.01722972972974938,1
273,0.01868131868133999,1
328,0.015548780487822614,1
335,0.01522388059703229,1
321,0.01588785046730784,1
332,0.015361445783150051,1
317,0.01608832807572813,1
309,0.016504854368950866,1
334,0.015269461077861729,1
326,0.015644171779158948,1
333,0.015315315315332784,1
457,0.011159737417955838,1
632,0.008069620253173761,1
523,0.009751434034427948,1
668,0.0076347305389308645,1
552,0.009239130434793148,1
625,0.008160000000009307,1
360,0.014166666666682825,1
328,0.015548780487822614,1
311,0.016398713826385265,1
325,0.015692307692325592,1
327,0.015596330275247148,1
333,0.015315315315332784,1
331,0.015407854984911835,1
322,0.015838509316788252,1
320,0.01593750000001818,1
298,0.017114093959751064,1
330,0.015454545454563082,1
335,0.014328358209007342,1
266,0.019924812030031408,1
480,0.01062500000001212,1
565,0.009026548672576667,1
521,0.009788867562391204,1
330,0.015454545454563082,1
273,0.01868131868133999,1
331,0.015407854984911835,1
309,0.016504854368950866,1
329,0.015501519756856588,1
276,0.018478260869586295,1
344,0.014825581395365748,1
329,0.015501519756856588,1
333,0.015315315315332784,1
369,0.013821138211397879,1
