Number_of_Packects ,Avg_time_gap,Number_of_unique_IDs
314,0.01592356687898088,2
273,0.01868131868133999,1
280,0.01821428571430649,2
307,0.01661237785018182,1
557,0.00915619389588118,2
483,0.010559006211192169,2
532,0.009586466165424468,2
510,0.010000000000011406,2
433,0.011778290993085028,2
460,0.011086956521751776,2
468,0.010897435897448328,2
518,0.009845559845571075,2
473,0.010782241014811452,2
603,0.008457711442795716,2
491,0.01018329938900203,2
239,0.02133891213391556,2
244,0.02090163934428614,1
229,0.022270742358104008,2
323,0.015789473684228537,1
376,0.013563829787249517,2
273,0.01868131868133999,12
653,0.006584992343058892,17
282,0.01879432624119666,25
348,0.016379310344861023,23
306,0.01764705882351037,26
305,0.011475409836160978,22
313,0.019808306709302347,18
295,0.01694915254237287,18
285,0.02140350877195023,24
500,0.009000000000058198,19
297,0.016498316498296885,18
304,0.016776315789492815,21
389,0.015424164524496395,16
318,0.01729559748436824,15
301,0.014617940199316193,18
364,0.01648351648351647,19
290,0.01758620689657178,19
339,0.013864306784695092,16
355,0.014084507042335489,15
349,0.016332378223445652,17
301,0.016943521594703706,23
453,0.011258278145708202,14
310,0.013870967741897913,18
377,0.014058355437789286,13
327,0.015596330275247141,22
346,0.01734104046242773,13
369,0.01246612466126237,20
348,0.01436781609203764,14
319,0.01630094043890795,25
346,0.01676300578031316,9
318,0.013207547169847912,22
402,0.013184079602033475,15
331,0.01570996978855479,18
328,0.018292682926829253,15
304,0.016776315789492815,17
337,0.012462908011903966,19
318,0.016352201257898224,20
344,0.015697674418672317,15
316,0.018354430379709984,16
337,0.015133531157287286,18
362,0.012983425414396782,23
372,0.014247311828003916,14
319,0.014106583072100293,15
360,0.011111111111111094,20
383,0.014360313316002866,17
304,0.01875000000003828,17
337,0.014243323442101939,19
265,0.021509433962308068,19
393,0.01119592875323989,19
322,0.016770186335385632,16
334,0.014970059880326642,17
336,0.014880952380952363,22
335,0.01582089552244017,15
474,0.01160337552748755,15
343,0.01690962099121969,19
493,0.010141987829673628,22
390,0.011538461538461525,21
327,0.018348623853211,16
327,0.011620795107087025,18
331,0.01963746223564953,14
291,0.015807560137477035,25
346,0.01647398843933999,12
392,0.012500000000059382,19
370,0.01216216216216215,13
354,0.01581920903956445,21
354,0.016101694915287106,13
363,0.012121212121276247,18
331,0.01510574018126887,17
338,0.016568047337295312,26
600,0.0071666666666957615,14
328,0.01951219512193346,17
291,0.018213058419303985,13
521,0.010172744721722566,23
575,0.008521739130475265,11
443,0.012415349887133172,20
258,0.023255813953488358,15
342,0.012865497076006354,25
329,0.01610942249245428,12
389,0.014138817480794595,18
346,0.015606936416168133,15
326,0.00981595092028109,26
344,0.019767441860515864,9
289,0.016608996539852792,13
443,0.013318284424366082,10
253,0.016996047430899046,11
384,0.014843750000030305,10
347,0.014121037464044028,11
355,0.015211267605617392,15
340,0.015000000000017104,11
320,0.015000000000054558,8
376,0.016223404255334615,12
352,0.01250000000006613,12
277,0.021299638989148648,10
297,0.01717171717173676,8
391,0.012020460358086026,14
310,0.018064516129051023,15
377,0.010875331565002165,11
252,0.024603174603220784,6
351,0.011965811965845117,15
293,0.013993174061453301,11
424,0.011084905660404803,10
338,0.013313609467455606,10
321,0.016822429906614575,11
312,0.019230769230769218,11
355,0.014366197183114974,12
356,0.01039325842708073,11
350,0.018571428571428555,12
302,0.014569536423821774,11
326,0.018711656441735634,12
303,0.017161716171655572,7
489,0.010224948875315129,13
383,0.010704960835524323,13
351,0.015669515669515653,9
333,0.017717717717787622,9
474,0.010548523206751044,13
350,0.015142857142907017,16
337,0.012759643916965747,8
368,0.01168478260874309,8
330,0.018181818181818167,14
377,0.010344827586268639,11
402,0.012935323383113522,17
392,0.013010204081647488,21
261,0.021455938697340294,16
292,0.008561643835716096,17
304,0.022368421052593266,18
329,0.015501519756856588,12
364,0.009615384615464555,19
343,0.01749271137026238,10
349,0.016332378223529044,24
343,0.01603498542274051,8
346,0.01329479768787808,18
426,0.011971830985997464,11
388,0.01417525773195875,21
284,0.015845070422535197,9
254,0.024015748031518958,19
248,0.018951612903272727,18
382,0.01465968586388957,19
316,0.015189873417776768,12
336,0.015773809523861475,15
404,0.013366336633648945,12
334,0.011976047904191598,25
373,0.015549597855274683,9
335,0.015223880597032287,21
325,0.017538461538497342,11
392,0.011989795918397031,21
325,0.016615384615456245,13
269,0.019330855018630622,16
190,0.02842105263154829,12
351,0.013105413105429673,26
292,0.01575342465765384,8
325,0.013846153846243374,21
317,0.01545741324919298,14
316,0.017088607595010373,16
331,0.01450151057398294,10
387,0.012144702842407328,16
359,0.015041782729869852,16
322,0.013664596273273832,20
373,0.013672922252026317,9
298,0.014765100671121393,20
411,0.012408759124172553,12
330,0.017878787878770223,26
236,0.02203389830513406,7
345,0.013043478260953908,17
321,0.015576323987538927,13
407,0.014987714987729276,21
343,0.013119533527696778,13
314,0.01592356687907356,15
313,0.016293929712478648,15
327,0.01865443425078231,24
317,0.012933753943236013,8
364,0.01401098901100499,18
519,0.007321772639725351,15
382,0.01544502617799522,17
343,0.013411078717218122,10
322,0.015527950310649375,16
318,0.016981132075453376,16
365,0.012054794520611718,20
341,0.015249266862204217,9
346,0.014739884393080391,18
347,0.01729106628242073,13
342,0.01315789473692719,25
321,0.014953271028001102,5
320,0.015937500000018173,13
362,0.012154696132660991,7
380,0.015526315789458352,12
296,0.015878378378417695,7
344,0.014244186046579295,12
397,0.01460957178845707,9
321,0.0149532710280011,10
326,0.017484662576722817,4
415,0.010361445783174595,12
364,0.014835164835228785,8
321,0.018068535825508887,9
330,0.01545454545456308,7
376,0.011968085106460368,10
392,0.014030612244823706,12
284,0.017957746478996204,11
711,0.007172995780598897,6
339,0.014454277286204369,11
493,0.009736308316406397,11
358,0.014245810055882172,9
292,0.017465753424677453,5
347,0.014697406340074399,12
309,0.013915857605234491,9
354,0.01694915254245508,12
367,0.014168937329731979,6
277,0.016606498194966846,11
377,0.01591511936339521,10
308,0.016558441558460445,10
388,0.013402061855700097,4
266,0.015789473684254277,11
414,0.01473429951692226,9
328,0.014939024390314871,11
333,0.01591591591596834,5
274,0.019343065693388155,10
383,0.013315926892965575,12
304,0.018092105263253618,6
259,0.01621621621626115,3
376,0.01622340425533462,5
302,0.013576158940416616,2
275,0.018545454545475695,5
227,0.022466960352448537,2
171,0.029824561403542792,5
328,0.015548780487822614,2
